
VBET Version 0.8.6 high disk  (id:65d3c65b-69b0-46d9-88d2-4a34612624b5)
=================================================================
VBET HUC8s and huc10
createdOn: Dec 15, 2022 23:25:33 (1671146733712)
updatedOn: Jan 04, 2023 17:13:38 (1672852418584)

STOPPED: (1)
05140201

SUCCEEDED: (38)
07020005, 1019000209, 16010202, 16010203, 0705000202, 1019000402, 10030201, 10190005, 10190004, 07050002, 06010202, 10190003, 0514020112, 1601020204, 17060304, 0601020704, 1005001505, 16010201, 0502000405, 0601020203, 1601020101, 1601020303, 05010003, 0501000301, 0504000306, 1003020102, 1601020201, 05040003, 1019000309, 05020004, 1019001003, 1019000507, 0702000504, 1706030402, 06010207, 10190010, 10190002, 10050015

Jobs:
----------------
jobname	taskname	status	cpu	memory	ellapsedS	startedOn	endedOn	logUrl	jobid	taskid
VBET Version 0.8.6 high disk	05140201	STOPPED	4096	30720	1705675.677	1671146742686	1672852418363	https://us-west-2.console.aws.amazon.com/cloudwatch/home?region=us-west-2#logsV2:log-groups/log-group/CybercastorLogs_prod/log-events/ecs$252FCybercastorEngine_rstools_prod$252Frstools$252F3e9a4d7386174a22a17320461c41c5f5	65d3c65b-69b0-46d9-88d2-4a34612624b5	bc12be72-170f-4d13-9366-7ef1dccbd94d
VBET Version 0.8.6 high disk	07020005	SUCCEEDED	4096	30720	260197.567	1671146845023	1671407042590	https://us-west-2.console.aws.amazon.com/cloudwatch/home?region=us-west-2#logsV2:log-groups/log-group/CybercastorLogs_prod/log-events/ecs$252FCybercastorEngine_rstools_prod$252Frstools$252F612aed1410ea4b0db523050df34ed1d2	65d3c65b-69b0-46d9-88d2-4a34612624b5	41d79817-cf42-4a90-8952-d08fb349dd99
VBET Version 0.8.6 high disk	1019000209	SUCCEEDED	4096	30720	2479.806	1671146833986	1671149313792	https://us-west-2.console.aws.amazon.com/cloudwatch/home?region=us-west-2#logsV2:log-groups/log-group/CybercastorLogs_prod/log-events/ecs$252FCybercastorEngine_rstools_prod$252Frstools$252F3507024bd8fc4872b1778cdaf5d30ca9	65d3c65b-69b0-46d9-88d2-4a34612624b5	d8a03760-6ec7-4c00-a862-79f1688af4ac
VBET Version 0.8.6 high disk	16010202	SUCCEEDED	4096	30720	30191.36	1671146845282	1671177036642	https://us-west-2.console.aws.amazon.com/cloudwatch/home?region=us-west-2#logsV2:log-groups/log-group/CybercastorLogs_prod/log-events/ecs$252FCybercastorEngine_rstools_prod$252Frstools$252Fbc5037870761425e8204c53935c1fa0c	65d3c65b-69b0-46d9-88d2-4a34612624b5	6dd652fa-d7e9-4fe1-82df-5391cb6e71e3
VBET Version 0.8.6 high disk	16010203	SUCCEEDED	4096	30720	14131.459	1671146845547	1671160977006	https://us-west-2.console.aws.amazon.com/cloudwatch/home?region=us-west-2#logsV2:log-groups/log-group/CybercastorLogs_prod/log-events/ecs$252FCybercastorEngine_rstools_prod$252Frstools$252F1092b580da7e4eab89b3cb135568d10f	65d3c65b-69b0-46d9-88d2-4a34612624b5	302393e7-5a9d-4ea9-9916-e352a1a072f0
VBET Version 0.8.6 high disk	0705000202	SUCCEEDED	4096	30720	4609.122	1671146834054	1671151443176	https://us-west-2.console.aws.amazon.com/cloudwatch/home?region=us-west-2#logsV2:log-groups/log-group/CybercastorLogs_prod/log-events/ecs$252FCybercastorEngine_rstools_prod$252Frstools$252F70e27579419e49a59c8f13ba96a25a1f	65d3c65b-69b0-46d9-88d2-4a34612624b5	c01d3681-8af2-404a-8460-5960a2450299
VBET Version 0.8.6 high disk	1019000402	SUCCEEDED	4096	30720	3456.479	1671146844629	1671150301108	https://us-west-2.console.aws.amazon.com/cloudwatch/home?region=us-west-2#logsV2:log-groups/log-group/CybercastorLogs_prod/log-events/ecs$252FCybercastorEngine_rstools_prod$252Frstools$252Fa807031f4fd0437d9f5b39354989b581	65d3c65b-69b0-46d9-88d2-4a34612624b5	4387cfcb-2f63-4c2f-b078-a3e5c1b7aff0
VBET Version 0.8.6 high disk	10030201	SUCCEEDED	4096	30720	45024.985	1671146875235	1671191900220	https://us-west-2.console.aws.amazon.com/cloudwatch/home?region=us-west-2#logsV2:log-groups/log-group/CybercastorLogs_prod/log-events/ecs$252FCybercastorEngine_rstools_prod$252Frstools$252Fbc4ace41b0f74010a0129facfec5df76	65d3c65b-69b0-46d9-88d2-4a34612624b5	309bfdd2-2aa0-4209-8420-7229a9b0f500
VBET Version 0.8.6 high disk	10190005	SUCCEEDED	4096	30720	39411.588	1671146859444	1671186271032	https://us-west-2.console.aws.amazon.com/cloudwatch/home?region=us-west-2#logsV2:log-groups/log-group/CybercastorLogs_prod/log-events/ecs$252FCybercastorEngine_rstools_prod$252Frstools$252F20e591daccb444958be2308815070a63	65d3c65b-69b0-46d9-88d2-4a34612624b5	78f0b1a1-c022-4f85-b354-ec922d38b184
VBET Version 0.8.6 high disk	10190004	SUCCEEDED	4096	30720	14934.152	1671146835651	1671161769803	https://us-west-2.console.aws.amazon.com/cloudwatch/home?region=us-west-2#logsV2:log-groups/log-group/CybercastorLogs_prod/log-events/ecs$252FCybercastorEngine_rstools_prod$252Frstools$252F38b21621ce25444aa497f436f6203cb1	65d3c65b-69b0-46d9-88d2-4a34612624b5	544a39a7-5f0d-4356-98ef-16b1b2e97b4f
VBET Version 0.8.6 high disk	07050002	SUCCEEDED	4096	30720	194333.437	1671146860252	1671341193689	https://us-west-2.console.aws.amazon.com/cloudwatch/home?region=us-west-2#logsV2:log-groups/log-group/CybercastorLogs_prod/log-events/ecs$252FCybercastorEngine_rstools_prod$252Frstools$252F5c1f4c9624d54bcc92d60bff8a88d884	65d3c65b-69b0-46d9-88d2-4a34612624b5	d70a4156-b1f3-4dfc-91af-44c50572ba33
VBET Version 0.8.6 high disk	06010202	SUCCEEDED	4096	30720	22291.786	1671146843859	1671169135645	https://us-west-2.console.aws.amazon.com/cloudwatch/home?region=us-west-2#logsV2:log-groups/log-group/CybercastorLogs_prod/log-events/ecs$252FCybercastorEngine_rstools_prod$252Frstools$252F547226c469a34565b20bb7435e194491	65d3c65b-69b0-46d9-88d2-4a34612624b5	b8d5c0bf-6298-430e-ad1e-d685dd158a81
VBET Version 0.8.6 high disk	10190003	SUCCEEDED	4096	30720	95542.813	1671146837733	1671242380546	https://us-west-2.console.aws.amazon.com/cloudwatch/home?region=us-west-2#logsV2:log-groups/log-group/CybercastorLogs_prod/log-events/ecs$252FCybercastorEngine_rstools_prod$252Frstools$252F9d89e63e897a475da98fe7982e2ed9ad	65d3c65b-69b0-46d9-88d2-4a34612624b5	bd3b1088-7abf-40de-b72a-8e6a641924e1
VBET Version 0.8.6 high disk	0514020112	SUCCEEDED	4096	30720	14690.012	1671146837126	1671161527138	https://us-west-2.console.aws.amazon.com/cloudwatch/home?region=us-west-2#logsV2:log-groups/log-group/CybercastorLogs_prod/log-events/ecs$252FCybercastorEngine_rstools_prod$252Frstools$252Fad9d347106124f6e9c68891a43926ede	65d3c65b-69b0-46d9-88d2-4a34612624b5	99331d79-5427-4ebc-beb0-0b9e9cec6ecf
VBET Version 0.8.6 high disk	1601020204	SUCCEEDED	4096	30720	2019.271	1671146837019	1671148856290	https://us-west-2.console.aws.amazon.com/cloudwatch/home?region=us-west-2#logsV2:log-groups/log-group/CybercastorLogs_prod/log-events/ecs$252FCybercastorEngine_rstools_prod$252Frstools$252F195efed3967843509e973e562417a82e	65d3c65b-69b0-46d9-88d2-4a34612624b5	d621fa2f-cffe-413b-9b9b-bc88e2d39893
VBET Version 0.8.6 high disk	17060304	SUCCEEDED	4096	30720	3039.542	1671146863070	1671149902612	https://us-west-2.console.aws.amazon.com/cloudwatch/home?region=us-west-2#logsV2:log-groups/log-group/CybercastorLogs_prod/log-events/ecs$252FCybercastorEngine_rstools_prod$252Frstools$252F52f5685ebe9c49839f7e284ee854fcf8	65d3c65b-69b0-46d9-88d2-4a34612624b5	95885ab5-4022-406c-9a8a-5aea826cc208
VBET Version 0.8.6 high disk	0601020704	SUCCEEDED	4096	30720	14684.672	1671146862645	1671161547317	https://us-west-2.console.aws.amazon.com/cloudwatch/home?region=us-west-2#logsV2:log-groups/log-group/CybercastorLogs_prod/log-events/ecs$252FCybercastorEngine_rstools_prod$252Frstools$252Fc85a342bb80e4a8a9b709b574720abc0	65d3c65b-69b0-46d9-88d2-4a34612624b5	29bc10f0-360b-4c56-9115-25d24ac8af9c
VBET Version 0.8.6 high disk	1005001505	SUCCEEDED	4096	30720	13740.436	1671146860458	1671160600894	https://us-west-2.console.aws.amazon.com/cloudwatch/home?region=us-west-2#logsV2:log-groups/log-group/CybercastorLogs_prod/log-events/ecs$252FCybercastorEngine_rstools_prod$252Frstools$252F5d2e4031c81c4a85bc40f8fffdf24f4d	65d3c65b-69b0-46d9-88d2-4a34612624b5	e15adc31-8884-45d9-adb8-c7016e9fffc1
VBET Version 0.8.6 high disk	16010201	SUCCEEDED	4096	30720	109954.339	1671146846988	1671256801327	https://us-west-2.console.aws.amazon.com/cloudwatch/home?region=us-west-2#logsV2:log-groups/log-group/CybercastorLogs_prod/log-events/ecs$252FCybercastorEngine_rstools_prod$252Frstools$252Fc9dfe39913e74e37922ccef7f0b53359	65d3c65b-69b0-46d9-88d2-4a34612624b5	fcb32656-f00c-4219-8ed2-866bf896b43c
VBET Version 0.8.6 high disk	0502000405	SUCCEEDED	4096	30720	2526.532	1671146838367	1671149364899	https://us-west-2.console.aws.amazon.com/cloudwatch/home?region=us-west-2#logsV2:log-groups/log-group/CybercastorLogs_prod/log-events/ecs$252FCybercastorEngine_rstools_prod$252Frstools$252F39d5c42d653442738249bef899b6ffbb	65d3c65b-69b0-46d9-88d2-4a34612624b5	0c328701-9725-4ca1-a908-7db46f0d7d5b
VBET Version 0.8.6 high disk	0601020203	SUCCEEDED	4096	30720	2658.456	1671146833616	1671149492072	https://us-west-2.console.aws.amazon.com/cloudwatch/home?region=us-west-2#logsV2:log-groups/log-group/CybercastorLogs_prod/log-events/ecs$252FCybercastorEngine_rstools_prod$252Frstools$252F269a6ab007fc4e10b6538523b8710d22	65d3c65b-69b0-46d9-88d2-4a34612624b5	449a6fc4-6978-47d9-b39d-780f70c61d0d
