VegetationID,Name,Physiognomy,Notes
-1111,Fill-Not Mapped,Fill-Not Mapped,
-9999,Fill-NoData,Fill-NoData,
1,Missing,Missing,
11,Open Water,Open Water,
12,Perennial Ice/Snow,Perennial Ice/Snow,
31,Barren-Rock/Sand/Clay,Barren-Rock/Sand/Clay,
381,Inter-Mountain Basins Big Sagebrush Steppe,Shrubland,
383,Inter-Mountain Basins Sparsely Vegetated Systems,Sparse,
384,Rocky Mountain Alpine/Montane Sparsely Vegetated Systems,Sparse,
385,North American Warm Desert Sparsely Vegetated Systems,Sparse,
386,Western Great Plains Shortgrass Prairie,Grassland,
387,Western Great Plains Foothill and Piedmont Grassland,Grassland,
388,Wyoming Basins Dwarf Sagebrush Shrubland and Steppe,Shrubland,
389,Southern Colorado Plateau Sand Shrubland,Shrubland,
390,Inter-Mountain Basins Big Sagebrush Steppe,Shrubland,
391,Rocky Mountain Lower Montane-Foothill Shrubland,Shrubland,
392,Apacherian-Chihuahuan Mesquite Upland Scrub,Shrubland,
393,Chihuahuan Stabilized Coppice Dune and Sand Flat Scrub,Shrubland,
394,Colorado Plateau Blackbrush-Mormon-tea Shrubland,Shrubland,
395,Mojave Mid-Elevation Mixed Desert Scrub,Shrubland,
396,Southern Rocky Mountain Montane-Subalpine Grassland,Grassland,
397,Sonora-Mojave Semi-Desert Chaparral,Shrubland,
398,Sonora-Mojave Creosotebush-White Bursage Desert Scrub,Shrubland,
399,Inter-Mountain Basins Montane Sagebrush Steppe-Mountain Big Sagebrush,Shrubland,
400,Mojave Mid-Elevation Mixed Desert Scrub,Shrubland,
401,Inter-Mountain Basins Mat Saltbush Shrubland,Shrubland,
402,Apacherian-Chihuahuan Mesquite Upland Scrub,Shrubland,
403,Colorado Plateau Mixed Low Sagebrush Shrubland,Shrubland,
404,Colorado Plateau Blackbrush-Mormon-tea Shrubland,Shrubland,
405,Sonora-Mojave Semi-Desert Chaparral,Shrubland,
406,Southern Colorado Plateau Sand Shrubland,Shrubland,
407,Apacherian-Chihuahuan Mesquite Upland Scrub,Shrubland,
408,Mediterranean California Sparsely Vegetated Systems,Sparse,
409,Rocky Mountain Alpine/Montane Sparsely Vegetated Systems,Sparse,
410,Inter-Mountain Basins Sparsely Vegetated Systems,Sparse,
411,Rocky Mountain Alpine/Montane Sparsely Vegetated Systems,Sparse,
412,Inter-Mountain Basins Sparsely Vegetated Systems,Sparse,
413,Rocky Mountain Alpine/Montane Sparsely Vegetated Systems,Sparse,
414,Inter-Mountain Basins Sparsely Vegetated Systems,Sparse,
415,Rocky Mountain Alpine/Montane Sparsely Vegetated Systems,Sparse,
416,Rocky Mountain Aspen Forest and Woodland,Hardwood,
417,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest-Ponderosa Pine-Douglas-fir,Conifer,
418,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest-Larch,Conifer,
419,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest-Grand Fir,Conifer,
420,Northern Rocky Mountain Subalpine Woodland and Parkland,Conifer,
421,Northern Rocky Mountain Mesic Montane Mixed Conifer Forest,Conifer,
422,Northern Rocky Mountain Mesic Montane Mixed Conifer Forest-Cedar Groves,Conifer,
423,Northern Rocky Mountain Ponderosa Pine Woodland and Savanna,Conifer,
424,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland,Conifer,
425,Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland,Conifer,
426,Inter-Mountain Basins Curl-leaf Mountain Mahogany Woodland and Shrubland,Shrubland,
427,Columbia Plateau Scabland Shrubland,Shrubland,
428,Rocky Mountain Alpine Dwarf-Shrubland,Shrubland,
429,Great Basin Xeric Mixed Sagebrush Shrubland,Shrubland,
430,Inter-Mountain Basins Big Sagebrush Shrubland,Shrubland,
431,Northern Rocky Mountain Montane-Foothill Deciduous Shrubland,Shrubland,
432,Inter-Mountain Basins Juniper Savanna,Conifer,
433,Columbia Plateau Steppe and Grassland,Grassland,
434,Columbia Plateau Low Sagebrush Steppe,Shrubland,
435,Inter-Mountain Basins Big Sagebrush Steppe,Shrubland,
436,Inter-Mountain Basins Montane Sagebrush Steppe,Shrubland,
437,Inter-Mountain Basins Semi-Desert Shrub-Steppe,Shrubland,
438,Columbia Basin Foothill and Canyon Dry Grassland,Grassland,
439,Inter-Mountain Basins Semi-Desert Grassland,Grassland,
440,Northern Rocky Mountain Lower Montane-Foothill-Valley Grassland,Grassland,
441,Northern Rocky Mountain Subalpine-Upper Montane Grassland,Grassland,
442,Columbia Basin Palouse Prairie,Grassland,
443,Rocky Mountain Subalpine-Montane Mesic Meadow,Grassland,
444,Inter-Mountain Basins Greasewood Flat,Shrubland,
445,Inter-Mountain Basins Montane Riparian Systems,Riparian,
446,Rocky Mountain Montane Riparian Systems,Riparian,
447,Rocky Mountain Subalpine/Upper Montane Riparian Systems,Riparian,
448,Northern Rocky Mountain Conifer Swamp,Conifer,
449,Middle Rocky Mountain Montane Douglas-fir Forest and Woodland,Conifer,
450,Rocky Mountain Poor-Site Lodgepole Pine Forest,Conifer,
451,Inter-Mountain Basins Sparsely Vegetated Systems,Sparse,
452,Rocky Mountain Alpine/Montane Sparsely Vegetated Systems,Sparse,
453,Northwestern Great Plains Aspen Forest and Parkland,Hardwood,
454,Rocky Mountain Aspen Forest and Woodland,Hardwood,
456,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest-Ponderosa Pine-Douglas-fir,Conifer,
457,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest-Larch,Conifer,
458,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest-Grand Fir,Conifer,
459,Northern Rocky Mountain Subalpine Woodland and Parkland,Conifer,
460,Northern Rocky Mountain Mesic Montane Mixed Conifer Forest,Conifer,
461,Northern Rocky Mountain Mesic Montane Mixed Conifer Forest-Cedar Groves,Conifer,
462,Rocky Mountain Foothill Limber Pine-Juniper Woodland,Conifer,
463,Northern Rocky Mountain Ponderosa Pine Woodland and Savanna,Conifer,
464,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland,Conifer,
465,Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland,Conifer,
466,Inter-Mountain Basins Curl-leaf Mountain Mahogany Woodland and Shrubland,Shrubland,
467,Rocky Mountain Alpine Dwarf-Shrubland,Shrubland,
468,Inter-Mountain Basins Big Sagebrush Shrubland,Shrubland,
469,Inter-Mountain Basins Mixed Salt Desert Scrub,Shrubland,
470,Northern Rocky Mountain Montane-Foothill Deciduous Shrubland,Shrubland,
471,Inter-Mountain Basins Juniper Savanna,Conifer,
472,Columbia Plateau Low Sagebrush Steppe,Shrubland,
473,Inter-Mountain Basins Big Sagebrush Steppe,Shrubland,
474,Inter-Mountain Basins Montane Sagebrush Steppe,Shrubland,
475,Northern Rocky Mountain Lower Montane-Foothill-Valley Grassland,Grassland,
476,Northern Rocky Mountain Subalpine-Upper Montane Grassland,Grassland,
477,Rocky Mountain Alpine Fell-Field,Grassland,
478,Rocky Mountain Alpine Turf,Grassland,
479,Rocky Mountain Subalpine-Montane Mesic Meadow,Grassland,
480,Inter-Mountain Basins Greasewood Flat,Shrubland,
481,Inter-Mountain Basins Montane Riparian Systems,Riparian,
482,Rocky Mountain Montane Riparian Systems,Riparian,
483,Rocky Mountain Subalpine/Upper Montane Riparian Systems,Riparian,
484,Northern Rocky Mountain Conifer Swamp,Conifer,
485,Middle Rocky Mountain Montane Douglas-fir Forest and Woodland,Conifer,
486,Middle Rocky Mountain Montane Douglas-fir Forest and Woodland-Fire-maintained Savanna,Conifer,
487,Rocky Mountain Poor-Site Lodgepole Pine Forest,Conifer,
488,Inter-Mountain Basins Sparsely Vegetated Systems,Sparse,
491,Colorado Plateau Pinyon-Juniper Woodland,Conifer,
492,Great Basin Pinyon-Juniper Woodland,Conifer,
493,Inter-Mountain Basins Subalpine Limber-Bristlecone Pine Woodland,Conifer,
494,Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland,Conifer,
495,Southern Rocky Mountain Ponderosa Pine Woodland,Conifer,
496,Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland,Hardwood-Conifer,
497,Inter-Mountain Basins Curl-leaf Mountain Mahogany Woodland and Shrubland,Shrubland,
