WatershedID,Name,AreaSqkm,States,Qlow,Q2,MaxDrainage,EcoregionID,Notes,Metadata
01010002,Allagash,3198.37,ME,,,,58,,
01010003,Fish,2306.21,ME,,,,82,,
01010004,Aroostook,6320.85,CN_ME,,,,82,,
01010005,Meduxnekeag,1328.87,CN_ME,,,,82,,
01010006,Headwaters Saint John River,3135.27,CN_ME,,,,58,,
01010007,Big Black River-Saint John River,3844.67,CN_ME,,,,58,,
01010008,St. Francis River-Saint John River,6027.12,CN_ME,,,,58,,
01010009,Little River-Saint John River,4165.42,CN_ME,,,,82,,
01010010,Becaguimec Stream-Saint John River,2527.09,CN_ME,,,,82,,
01010011,Keswick River-Saint John River,3639.8,CN_ME,,,,82,,
01020001,West Branch Penobscot,5520.76,CN_ME,,,,58,,
01020002,East Branch Penobscot,2899.62,ME,,,,58,,
01020003,Mattawamkeag,3915.12,ME,,,,82,,
01020004,Piscataquis,3764.07,ME,,,,82,,
01020005,Lower Penobscot,6200.38,ME,,,,82,,
01030001,Upper Kennebec,4131.34,CN_ME,,,,58,,
01030002,Dead,2271.95,CN_ME,,,,58,,
01030003,Lower Kennebec,8885.43,ME,,,,82,,
01040001,Upper Androscoggin,3548.91,CN_ME_NH,,,,58,,
01040002,Lower Androscoggin,5586.4,ME_NH,,,,58,,
01050001,St. Croix,4263.85,CN_ME,,,,82,,
01050002,Maine Coastal,12478.02,ME,,,,82,,
01050003,St. George-Sheepscot,3546.15,ME,,,,82,,
01050004,Passamaquoddy Bay-Bay of Fundy,9668.04,CN_ME,,,,82,,
01060001,Presumpscot,3688.27,ME,,,,58,,
01060002,Saco,4404.7,ME_NH,,,,58,,
01060003,Piscataqua-Salmon Falls,4475.36,MA_ME_NH,,,,59,,
01070001,Pemigewasset,2648.71,NH,,,,58,,
01070002,Winnipesaukee River,1257.17,NH,,,,58,,
01070003,Contoocook,1978.89,NH,,,,58,,
01070004,Nashua,1379.21,MA_NH,,,,59,,
01070005,Concord,1036.63,MA,,,,59,,
01070006,Merrimack River,4662.81,MA_NH,,,,59,,
01080101,Upper Connecticut,3703.06,CN_ME_NH_VT,,,,58,,
01080102,Passumpsic,1305.61,NH_VT,,,,58,,
01080103,Waits,2403.14,NH_VT,,,,58,,
01080104,Upper Connecticut-Mascoma,1339.43,NH_VT,,,,58,,
01080105,White,1843.74,VT,,,,58,,
01080106,Black-Ottauquechee,3423.31,NH_VT,,,,58,,
01080107,West,2199.14,NH_VT,,,,58,,
01080201,Middle Connecticut,2636.71,MA_NH_VT,,,,58,,
01080202,Miller,1007.77,MA_NH,,,,58,,
01080203,Deerfield,1718.23,MA_VT,,,,58,,
