metric_id,name,machine_code,data_type,description,small,medium,large,method,metric_group_id,is_active,docs_url
1,Stream Gradient,STRMGRAD,REAL,Change in elevation along Flowline length,100.0,250.0,1000.0,(𝑡𝑜𝑝 𝑜𝑓 𝑟𝑒𝑎𝑐ℎ 𝑒𝑙𝑒𝑣𝑎𝑡𝑖𝑜𝑛 −𝑏𝑜𝑡𝑡𝑜𝑚 𝑜𝑓 𝑟𝑒𝑎𝑐ℎ 𝑒𝑙𝑒𝑣𝑎𝑡𝑖𝑜𝑛)/(𝑛𝑒𝑡𝑤𝑜𝑟𝑘 𝑙𝑒𝑛𝑔𝑡ℎ),1,0,"Hack, J. T. (1973). Stream-profile analysis and stream-gradient index. Journal of Research of the U.S. Geological Survey, 1(4), 421–429. Nagel, D., Buffington, J., & Isaak, D. (2006). Comparison of methods for estimating stream channel gradient using GIS. USDA Forest Service, Rocky Mountain Research Station Boise Aquatic Sciences Lab."
2,Valley Gradient,VALGRAD,REAL,Change in elevation along Centerline length,100.0,250.0,1000.0,(𝑡𝑜𝑝 𝑜𝑓 𝑠𝑒𝑔𝑚𝑒𝑛𝑡 𝑒𝑙𝑒𝑣. −𝑏𝑜𝑡𝑡𝑜𝑚 𝑜𝑓 𝑠𝑒𝑔𝑚𝑒𝑛𝑡 𝑒𝑙𝑒𝑣.)/(𝑣𝑎𝑙𝑙𝑒𝑦 𝑏𝑜𝑡𝑡𝑜𝑚 𝑐𝑒𝑛𝑡𝑒𝑟𝑙𝑖𝑛𝑒),1,0,
3,Stream Order,STRMORDR,INTEGER,standard strahler order attribute from NHD,50,50,50,Copy NHD Attribute,1,0,
4,Headwater,HEDWTR,INTEGER,Is greater than 50% of the analysis window marked as is_headwater?,250,250,250,Copy NHD VAA Attribute STARTFLAG,1,0,
5,Stream Type,STRMTYPE,INTEGER,NHD F Code Attribute,100,250,1000,Copy NHD Attribute FCODE,1,0,
6,Active Floodplain Area,ACTFLDAREA,REAL,Area of VBET Active Flood Plain,100,250,1000,Copy VBET Attribute,1,0,
7,Active Channel Area,ACTCHANAREA,REAL,Area of VBET Channel Area,100,250,1000,Copy VBET Attribute,1,0,
8,Integrated Width,INTGWDTH,REAL,Integrated width of Tier 1 polygons,100,250,1000,Copy VBET Attribute,1,0,
9,Active Channel Ratio,CHANVBRAT,REAL,Active Channel Area to Inactive + active floodplain polygons + Channel area polygon Ratio,100,250,1000,Channel area /(active + inactive floodplains + channel area),1,0,
10,Relative Flow Length,RELFLWLNGTH,REAL,,100,250,1000,sum of all blue line lenght/valley length,1,0,
11,Stream Size Metric,STRMSIZE,REAL,Stream Size (calculated as integrated channel width),100,250,1000,,1,0,
12,Valley Azimuth,VALAZMTH,REAL,,100,250,1000,,,0,
13,Ecoregion III,ECORGIII,,"which ecoregion contains the majority of the analysis window?",500,500,1000,,2,0,
14,Confluence Count,CONF,INTEGER,,100,250,1000,,2,1
15,Diffluence Count,DIFF,INTEGER,,100,250,1000,,2,1
16,Channel Sinuosity,CHANSIN,REAL,,100,250,1000,(𝑛𝑒𝑡𝑤𝑜𝑟𝑘 𝑙𝑒𝑛𝑔𝑡ℎ)/(𝑠𝑡𝑟𝑎𝑖𝑔ℎ𝑡−𝑙𝑖𝑛𝑒 𝑑𝑖𝑠𝑡𝑎𝑛𝑐𝑒),2,1,
17,Drainage Area,DRAINAREA,REAL,,100,250,1000,,2,
18,Ecoregion IV,ECORGIV,,which ecoregion contains the majority of the analysis window?,100,250,1000,,2,
19,Floodplain Count River Left,CNTFLDL,INTEGER,,100,250,1000,,2,
20,Active Floodplain Valley Bottom Ratio,FLDVBRAT,REAL,,100,250,1000,,2,1
21,Confinement,CNFMT,REAL,,100,250,1000,(𝐶𝑜𝑛𝑓𝑖𝑛𝑖𝑛𝑔 𝑚𝑎𝑟𝑔𝑖𝑛 𝑙𝑒𝑛𝑔𝑡ℎ)/(𝑛𝑒𝑡𝑤𝑜𝑟𝑘 𝑙𝑒𝑛𝑔𝑡ℎ) 𝑥 100,3,
22,Anthropogenic Confinement,ANTHCNFMT,REAL,,,,,(𝐶𝑜𝑛𝑓𝑖𝑛𝑖𝑛𝑔 𝑚𝑎𝑟𝑔𝑖𝑛 𝑙𝑒𝑛𝑔𝑡ℎ)/(𝑛𝑒𝑡𝑤𝑜𝑟𝑘 𝑙𝑒𝑛𝑔𝑡ℎ) 𝑥 100,3,
23,Grainsize,GRNSIZE,REAL,,250,250,1000,,3,
24,Tributary Junction Count,TRIBS,INTEGER,,250,250,1000,,2,1,
25,Floodplain Count River Right,CNTFLDR,INTEGER,,100,250,1000,,2,,
