VegetationID,Name,EVT_PHYS,DefaultSuitability
4401,Alaska Arctic Coastal Sedge-Dwarf-Shrubland,Shrubland,4
4402,Alaska Arctic Floodplain Forest,Riparian,4
4403,Alaska Arctic Large River Floodplain Forest,Riparian,4
4404,Alaska Arctic Mesic Alder Shrubland,Shrubland,4
4405,Alaska Arctic Permafrost Plateau Dwarf-Shrub Lichen Tundra,Shrubland,4
4406,Alaska Arctic Tidal Flat,Sparsely Vegetated,1
4407,Alaska Sub-boreal and Maritime Alpine Mesic Herbaceous Meadow,Grassland,4
4408,Alaska Sub-boreal Mesic Subalpine Alder Shrubland,Shrubland,4
4409,Alaska Sub-boreal Mountain Hemlock-White Spruce Forest,Conifer,2
4410,Alaska Sub-boreal White-Lutz Spruce Forest and Woodland,Conifer,2
4411,Alaskan Pacific Acidic Shrub Peatland,Riparian,4
4412,Alaskan Pacific Alpine-Subalpine Dwarf-shrubland & Heath,Shrubland,4
4413,Alaskan Pacific Floodplain Conifer Forest,Riparian,4
4414,Alaskan Pacific Maritime Alpine Floodplain Shrubland,Riparian,4
4415,Alaskan Pacific Maritime Avalanche Slope Shrubland,Shrubland,4
4416,Alaskan Pacific Maritime Coastal Meadow and Slough-Levee,Grassland,4
4417,Alaskan Pacific Maritime Mesic Herbaceous Meadow,Grassland,4
4418,Alaskan Pacific Maritime Mountain Hemlock-Shore Pine Peatland,Conifer,2
4419,Alaskan Pacific Maritime Western Hemlock Forest,Conifer,2
4420,Alaskan Pacific Mesic Western Hemlock-Yellow-cedar Forest,Conifer,2
4421,Alaskan Pacific Mountain Hemlock Forest and Subalpine Woodland ,Conifer,2
4422,Alaskan Pacific Poorly Drained Conifer Woodland,Conifer,2
4423,Alaskan Pacific Sitka Spruce Forest and Beach Ridge,Conifer,2
4424,Alaskan Pacific Wet Low Shrubland & Floodplain Wetland,Riparian,4
4425,Alaskan Pacific-Aleutian Alder-Salmonberry-Copperbush Shrubland,Shrubland,4
4426,Alaskan Pacific-Aleutian Coastal Dune Beach and Beach Meadow,Grassland,4
4427,Alaskan Pacific-Aleutian Fen and Wet Meadow,Riparian,4
4428,Alaskan Pacific-Aleutian Rocky Coastline and Sea Cliff,Sparsely Vegetated,1
4429,Aleutian Ericaceous Dwarf-shrubland Heath and Fell-field,Shrubland,4
4430,Aleutian Mesic Herbaceous Meadow,Grassland,4
4431,Aleutian Mesic-Wet Willow Shrubland,Shrubland,4
4432,Aleutian Volcanic Rock and Talus,Sparsely Vegetated,1
4434,North American Arctic Bedrock and Talus,Sparsely Vegetated,1
4435,North American Arctic Dryas Tundra,Shrubland,4
4436,North American Arctic Dwarf-Shrub Lichen Tundra,Shrubland,4
4437,North American Arctic Dwarf-shrub-Sphagnum Peatland,Riparian,4
4438,North American Arctic Freshwater Marsh,Riparian,4
4439,North American Arctic Lichen Tundra,Grassland,4
4440,North American Arctic Mesic Herbaceous Meadow,Grassland,4
4441,North American Arctic Mesic Sedge-Willow Tundra,Shrubland,4
4442,North American Arctic Mesic-Wet Low Willow Shrubland,Shrubland,4
