VegetationID,EpochID,Name,Physiognomy,LandUseGroup
-9999,2,No Data,No Data,
11,2,Open Water,Open Water,
12,2,Perennial Ice/Snow,Perennial Ice/Snow,
31,2,Barren-Rock/Sand/Clay,Barren-Rock/Sand/Clay,
381,2,Inter-Mountain Basins Big Sagebrush Steppe,Shrubland,
383,2,Inter-Mountain Basins Sparsely Vegetated Systems,Sparse,
384,2,Rocky Mountain Alpine/Montane Sparsely Vegetated Systems,Sparse,
385,2,North American Warm Desert Sparsely Vegetated Systems,Sparse,
386,2,Western Great Plains Shortgrass Prairie,Grassland,
387,2,Western Great Plains Foothill and Piedmont Grassland,Grassland,
388,2,Wyoming Basins Dwarf Sagebrush Shrubland and Steppe,Shrubland,
389,2,Southern Colorado Plateau Sand Shrubland,Shrubland,
390,2,Inter-Mountain Basins Big Sagebrush Steppe,Shrubland,
391,2,Rocky Mountain Lower Montane-Foothill Shrubland,Shrubland,
392,2,Apacherian-Chihuahuan Mesquite Upland Scrub,Shrubland,
393,2,Chihuahuan Stabilized Coppice Dune and Sand Flat Scrub,Shrubland,
394,2,Colorado Plateau Blackbrush-Mormon-tea Shrubland,Shrubland,
395,2,Mojave Mid-Elevation Mixed Desert Scrub,Shrubland,
396,2,Southern Rocky Mountain Montane-Subalpine Grassland,Grassland,
397,2,Sonora-Mojave Semi-Desert Chaparral,Shrubland,
398,2,Sonora-Mojave Creosotebush-White Bursage Desert Scrub,Shrubland,
399,2,Inter-Mountain Basins Montane Sagebrush Steppe - Mountain Big Sagebrush,Shrubland,
400,2,Mojave Mid-Elevation Mixed Desert Scrub,Shrubland,
401,2,Inter-Mountain Basins Mat Saltbush Shrubland,Shrubland,
402,2,Apacherian-Chihuahuan Mesquite Upland Scrub,Shrubland,
403,2,Colorado Plateau Mixed Low Sagebrush Shrubland,Shrubland,
404,2,Colorado Plateau Blackbrush-Mormon-tea Shrubland,Shrubland,
405,2,Sonora-Mojave Semi-Desert Chaparral,Shrubland,
406,2,Southern Colorado Plateau Sand Shrubland,Shrubland,
407,2,Apacherian-Chihuahuan Mesquite Upland Scrub,Shrubland,
408,2,Mediterranean California Sparsely Vegetated Systems,Sparse,
409,2,Rocky Mountain Alpine/Montane Sparsely Vegetated Systems,Sparse,
410,2,Inter-Mountain Basins Sparsely Vegetated Systems,Sparse,
411,2,Rocky Mountain Alpine/Montane Sparsely Vegetated Systems,Sparse,
412,2,Inter-Mountain Basins Sparsely Vegetated Systems,Sparse,
413,2,Rocky Mountain Alpine/Montane Sparsely Vegetated Systems,Sparse,
414,2,Inter-Mountain Basins Sparsely Vegetated Systems,Sparse,
415,2,Rocky Mountain Alpine/Montane Sparsely Vegetated Systems,Sparse,
416,2,Rocky Mountain Aspen Forest and Woodland,Hardwood,
417,2,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest - Ponderosa Pine-Douglas-fir,Conifer,
