metric_id,dataset,field_name,field_value
1,inputs/inputs.gpkg/flowlines,ownership,
2,inputs/inputs.gpkg/flowlines,us_state,
3,inputs/inputs.gpkg/counties,NAME,
8,intermediates/rme_intermediates.gpkg/junction_points,JunctionType,Confluence
9,intermediates/rme_intermediates.gpkg/junction_points,JunctionType,Diffluence
10,intermediates/rme_intermediates.gpkg/junction_points,JunctionType,Tributary
13,inputs/inputs.gpkg/flowlines,DivDASqKm,
15,inputs/inputs.gpkg/flowlines,GNIS_Name,
16,inputs/inputs.gpkg/flowlines,stream_order,
18,inputs/inputs.gpkg/flowlines,FCode,
20,inputs/inputs.gpkg/waterbodies,FCode,
22,inputs/inputs.gpkg/flowlines,ecoregion_iii,
23,inputs/inputs.gpkg/flowlines,ecoregion_iv,
24,outputs/riverscapes_metrics.gpkg/DGOVegetation,
25,outputs/riverscapes_metrics.gpkg/DGOVegetation,
26,outputs/riverscapes_metrics.gpkg/DGOVegetation,Physiognomy,Agricultural
28,outputs/riverscapes_metrics.gpkg/DGOVegetation,Physiognomy,Conifer
30,outputs/riverscapes_metrics.gpkg/DGOVegetation,Physiognomy,Conifer-Hardwood
32,outputs/riverscapes_metrics.gpkg/DGOVegetation,Physiognomy,Developed
34,outputs/riverscapes_metrics.gpkg/DGOVegetation,Physiognomy,Exotic Herbaceous
36,outputs/riverscapes_metrics.gpkg/DGOVegetation,Physiognomy,Exotic Tree-Shrub
38,outputs/riverscapes_metrics.gpkg/DGOVegetation,Physiognomy,Grassland
40,outputs/riverscapes_metrics.gpkg/DGOVegetation,Physiognomy,Hardwood
42,outputs/riverscapes_metrics.gpkg/DGOVegetation,Physiognomy,Riparian
44,outputs/riverscapes_metrics.gpkg/DGOVegetation,Physiognomy,Shrubland
46,outputs/riverscapes_metrics.gpkg/DGOVegetation,Physiognomy,Sparsely Vegetated
48,outputs/riverscapes_metrics.gpkg/DGOVegetation,Physiognomy,Conifer
50,outputs/riverscapes_metrics.gpkg/DGOVegetation,Physiognomy,Conifer-Hardwood
52,outputs/riverscapes_metrics.gpkg/DGOVegetation,Physiognomy,Grassland
54,outputs/riverscapes_metrics.gpkg/DGOVegetation,Physiognomy,Hardwood
56,outputs/riverscapes_metrics.gpkg/DGOVegetation,Physiognomy,Hardwood-Conifer
58,outputs/riverscapes_metrics.gpkg/DGOVegetation,Physiognomy,Peatland Forest
60,outputs/riverscapes_metrics.gpkg/DGOVegetation,Physiognomy,Peatland Non-Forest
62,outputs/riverscapes_metrics.gpkg/DGOVegetation,Physiognomy,Riparian
64,outputs/riverscapes_metrics.gpkg/DGOVegetation,Physiognomy,Savanna
66,outputs/riverscapes_metrics.gpkg/DGOVegetation,Physiognomy,Shrubland
68,outputs/riverscapes_metrics.gpkg/DGOVegetation,Physiognomy,Sparsely Vegetated
70,inputs/inputs.gpkg/vbet_dgos,low_lying_floodplain_area,
71,inputs/inputs.gpkg/vbet_dgos,elevated_floodplain_area,
72,inputs/inputs.gpkg/vbet_dgos,active_channel_area,
73,inputs/inputs.gpkg/vbet_dgos,floodplain_area,
74,inputs/inputs.gpkg/vbet_dgos,integrated_width,
75,inputs/inputs.gpkg/vbet_dgos,active_channel_prop,
76,inputs/inputs.gpkg/vbet_dgos,low_lying_floodplain_prop,
77,inputs/inputs.gpkg/vbet_dgos,elevated_floodplain_prop,
78,inputs/inputs.gpkg/vbet_dgos,floodplain_prop,
82,inputs/inputs.gpkg/confinement_dgo,confinement_ratio,
83,inputs/inputs.gpkg/confinement_dgo,constriction_ratio,
84,inputs/inputs.gpkg/confinement_dgo,confin_leng,
85,inputs/inputs.gpkg/confinement_dgo,constr_leng,
87,inputs/inputs.gpkg/hydro_dgo,QLow,
88,inputs/inputs.gpkg/hydro_dgo,Q2,
89,inputs/inputs.gpkg/hydro_dgo,SPLow,
90,inputs/inputs.gpkg/hydro_dgo,SP2,
91,inputs/inputs.gpkg/anthro_dgo,Road_len,
93,inputs/inputs.gpkg/anthro_dgo,Rail_len,
95,inputs/inputs.gpkg/anthro_dgo,LUI,
96,inputs/inputs.gpkg/anthro_flowlines,iPC_Road,
97,inputs/inputs.gpkg/anthro_flowlines,iPC_Rail,
98,inputs/inputs.gpkg/anthro_flowlines,iPC_DivPts,
99,inputs/inputs.gpkg/anthro_flowlines,iPC_Canal,
100,inputs/inputs.gpkg/anthro_flowlines,oPC_Dist,
101,inputs/inputs.gpkg/rcat_dgo,FloodplainAccess,
105,inputs/inputs.gpkg/rcat_dgo,ExistingRiparianMean,
106,inputs/inputs.gpkg/rcat_dgo,HistoricRiparianMean,
107,inputs/inputs.gpkg/rcat_dgo,RiparianDeparture,
108,inputs/inputs.gpkg/rcat_dgo,Agriculture,
109,inputs/inputs.gpkg/rcat_dgo,Development,
110,inputs/inputs.gpkg/rcat_dgo,GrassShrubland,
111,inputs/inputs.gpkg/rcat_dgo,Conifer,
112,inputs/inputs.gpkg/rcat_dgo,Invasive,
113,inputs/inputs.gpkg/rcat_dgo,Condition,
114,inputs/inputs.gpkg/brat_dgo,oCC_EX,
115,inputs/inputs.gpkg/brat_dgo,oCC_HPE,
116,inputs/inputs.gpkg/brat_dgo,Risk,
117,inputs/inputs.gpkg/brat_dgo,Opportunity,
118,inputs/inputs.gpkg/brat_dgo,Limitation,
119,inputs/inputs.gpkg/brat_dgo,mCC_EX_CT,
120,inputs/inputs.gpkg/brat_dgo,mCC_HPE_CT,
121,inputs/inputs.gpkg/brat_flowlines,Dam_Setting,
