metric_id,dataset,field_name
1,outputs/riverscapes_metrics.gpkg/desc_dgo,ownership
2,outputs/riverscapes_metrics.gpkg/desc_dgo,state
3,outputs/riverscapes_metrics.gpkg/desc_dgo,county
6,outputs/riverscapes_metrics.gpkg/dgo_measurements,STRMLENG
8,outputs/riverscapes_metrics.gpkg/geomorph_dgo,confluences
9,outputs/riverscapes_metrics.gpkg/geomorph_dgo,diffluences
10,outputs/riverscapes_metrics.gpkg/geomorph_dgo,tributaries
11,outputs/riverscapes_metrics.gpkg/geomorph_dgo,tributaries
13,outputs/riverscapes_metrics.gpkg/desc_dgo,drainage_area
14,outputs/riverscapes_metrics.gpkg/desc_dgo,watershedid
15,outputs/riverscapes_metrics.gpkg/desc_dgo,streamname
16,outputs/riverscapes_metrics.gpkg/desc_dgo,streamorder
17,outputs/riverscapes_metrics.gpkg/desc_dgo,headwater
18,outputs/riverscapes_metrics.gpkg/desc_dgo,streamtype
19,outputs/riverscapes_metrics.gpkg/desc_dgo,streamlength
20,outputs/riverscapes_metrics.gpkg/desc_dgo,waterbodytype
21,outputs/riverscapes_metrics.gpkg/desc_dgo,waterbodyextent
22,outputs/riverscapes_metrics.gpkg/desc_dgo,ecoregion3
23,outputs/riverscapes_metrics.gpkg/desc_dgo,ecoregion4
24,outputs/riverscapes_metrics.gpkg/veg_dgo,lf_evt
25,outputs/riverscapes_metrics.gpkg/veg_dgo,lf_bps
26,outputs/riverscapes_metrics.gpkg/veg_dgo,lf_agriculture_prop
27,outputs/riverscapes_metrics.gpkg/veg_dgo,lf_agriculture
28,outputs/riverscapes_metrics.gpkg/veg_dgo,lf_conifer_prop
29,outputs/riverscapes_metrics.gpkg/veg_dgo,lf_conifer
30,outputs/riverscapes_metrics.gpkg/veg_dgo,lf_conifer_hardwood_prop
31,outputs/riverscapes_metrics.gpkg/veg_dgo,lf_conifer_hardwood
32,outputs/riverscapes_metrics.gpkg/veg_dgo,lf_developed_prop
33,outputs/riverscapes_metrics.gpkg/veg_dgo,lf_developed
34,outputs/riverscapes_metrics.gpkg/veg_dgo,lf_exotic_herbaceous_prop
35,outputs/riverscapes_metrics.gpkg/veg_dgo,lf_exotic_herbaceous
36,outputs/riverscapes_metrics.gpkg/veg_dgo,lf_exotic_tree_shrub_prop
37,outputs/riverscapes_metrics.gpkg/veg_dgo,lf_exotic_tree_shrub
38,outputs/riverscapes_metrics.gpkg/veg_dgo,lf_grassland_prop
39,outputs/riverscapes_metrics.gpkg/veg_dgo,lf_grassland
40,outputs/riverscapes_metrics.gpkg/veg_dgo,lf_hardwood_prop
41,outputs/riverscapes_metrics.gpkg/veg_dgo,lf_hardwood
42,outputs/riverscapes_metrics.gpkg/veg_dgo,lf_riparian_prop
43,outputs/riverscapes_metrics.gpkg/veg_dgo,lf_riparian
44,outputs/riverscapes_metrics.gpkg/veg_dgo,lf_shrubland_prop
45,outputs/riverscapes_metrics.gpkg/veg_dgo,lf_shrubland
46,outputs/riverscapes_metrics.gpkg/veg_dgo,lf_sparsely_vegetated_prop
