metric_id,name,machine_code,data_type,field_name,description,small,medium,large,metric_group_id,metric_calculation_id,primary_metric,moving_window,window_calc_id,is_active,docs_url
1,Ownership,AGENCY,TEXT,ownership,majority land ownership within the dgo,200,400,1400,1,4,1,0,1,1,
2,State,STATE,TEXT,state,majority state that the dgo intersects,200,400,1400,1,4,1,0,1,1,
3,County,COUNTY,TEXT,county,majority county that the dgo intersects,200,400,1400,1,5,1,0,1,1,
4,Primary Channel Gradient,STRMGRAD,REAL,prim_channel_gradient,gradient calculated along the main flowline,200,400,1400,2,99,1,1,99,1,"Hack, J. T. (1973). Stream-profile analysis and stream-gradient index. Journal of Research of the U.S. Geological Survey, 1(4), 421–429. Nagel, D., Buffington, J., & Isaak, D. (4006). Comparison of methods for estimating stream channel gradient using GIS. USDA Forest Service, Rocky Mountain Research Station Boise Aquatic Sciences Lab."
5,Valley Gradient,VALGRAD,REAL,valleybottom_gradient,gradient calculated along the valley centerline,200,400,1400,2,99,1,1,99,1,
6,Relative Flow Length,RELFLWLNGTH,REAL,rel_flow_length,ratio of channel length to centerline length,200,400,1400,2,99,1,1,3,1,
7,Valley Azimuth,VALAZMTH,REAL,valley_azimuth,,200,400,1400,2,99,1,0,1,0,
8,Confluence Count,CONF,INTEGER,confluences,number of locations where anabranches converge,200,400,1400,2,6,1,0,1,1,
9,Diffluence Count,DIFF,INTEGER,diffluences,number of locations where anabranches split,200,400,1400,2,6,1,0,1,1,
10,Tributary Junction Count,TRIBS,INTEGER,tributaries,number of tributary junctions within the analysis window,400,400,1400,2,6,1,1,2,1,
11,Tributary Density,TRIBDENS,REAL,tribs_per_km,number of tributary junctions per km,200,400,1400,2,99,0,1,3,1,
12,Planform Sinuosity of Main Stream,CHANSIN,REAL,planform_sinuosity,ratio of channel lenght to straight line distance between end points,200,400,1400,2,99,0,1,99,1,
13,Drainage Area,DRAINAREA,REAL,drainage_area,upstream contributing drainage area,200,400,1400,1,4,1,0,1,1,
14,Watershed ID,WATERSHED,TEXT,watershed_id,NHD 10-digit Hydrologic Unit Code ID,200,400,1400,1,99,1,0,1,1,
15,Stream Name,STRMNAME,TEXT,stream_name,stream name of the main flowline in the dgo,200,400,1400,1,4,1,0,1,1,
16,Stream Order,STRMORDR,INTEGER,stream_order,standard strahler order attribute from NHD,200,400,1400,1,4,1,0,1,1,
17,Headwater,HEDWTR,INTEGER,headwater,is greater than 50% of the analysis window marked as is_headwater?,400,400,400,1,99,1,0,1,1,
18,Stream Type,STRMTYPE,INTEGER,stream_type,NHD F Code Attribute,200,400,1400,1,4,1,0,1,0,
19,Stream Length,STRMLENGTH,REAL,stream_length,length of the stream in the analysis window,200,400,1400,1,99,1,0,1,1,
20,Waterbody Type,WATERTYPE,TEXT,waterbody_type,NHD Waterbody Type Attribute,200,400,1400,1,5,1,0,1,1,
21,Waterbody Extent,WATEREXT,REAL,waterbody_extent,area of waterbody,200,400,1400,1,99,1,0,1,1,
22,Ecoregion III,ECORGIII,TEXT,ecoregion3,majority level 3 ecoregion within the dgo,500,500,1400,1,4,1,0,1,1,
23,Ecoregion IV,ECORGIV,TEXT,ecoregion4,majority level 4 ecoregion within the dgo,200,400,1400,1,4,1,0,1,1,
24,Landfire EVT Classes,LFEVT,TEXT,lf_evt,landfire existing vegetation type classes within the dgo that make up >= 30% of dgo,200,400,1400,3,99,1,0,1,1,
25,Landfire BpS Classes,LFBPS,TEXT,lf_bps,landfire biophysical settings classes within the dgo that make up >= 30% of dgo,200,400,1400,3,99,1,0,1,1,
