VegetationID,EpochID,Name
11,2,Open Water
12,2,PerennialIce/Snow
31,2,Barren-Rock/Sand/Clay
381,2,Inter-Mountain Basins Big Sagebrush Steppe
383,2,Inter-Mountain Basins Sparsely Vegetated Systems
384,2,Rocky Mountain Alpine/Montane Sparsely Vegetated Systems
385,2,North American Warm Desert Sparsely Vegetated Systems
386,2,Western Great Plains Shortgrass Prairie
387,2,Western Great Plains Foothill and Piedmont Grassland
388,2,Wyoming Basins Dwarf Sagebrush Shrubland and Steppe
389,2,Southern Colorado Plateau Sand Shrubland
390,2,Inter-Mountain Basins Big Sagebrush Steppe
391,2,Rocky Mountain Lower Montane-Foothill Shrubland
392,2,Apacherian-Chihuahuan Mesquite Upland Scrub
393,2,Chihuahuan Stabilized Coppice Dune and Sand Flat Scrub
394,2,Colorado Plateau Blackbrush-Mormon-tea Shrubland
395,2,Mojave Mid-Elevation Mixed Desert Scrub
396,2,Southern Rocky Mountain Montane-Subalpine Grassland
397,2,Sonora-Mojave Semi-Desert Chaparral
398,2,Sonora-Mojave Creosotebush-White Bursage Desert Scrub
399,2,Inter-Mountain Basins Montane Sagebrush Steppe - Mountain Big Sagebrush
400,2,Mojave Mid-Elevation Mixed Desert Scrub
401,2,Inter-Mountain Basins Mat Saltbush Shrubland
402,2,Apacherian-Chihuahuan Mesquite Upland Scrub
403,2,Colorado Plateau Mixed Low Sagebrush Shrubland
404,2,Colorado Plateau Blackbrush-Mormon-tea Shrubland
405,2,Sonora-Mojave Semi-Desert Chaparral
406,2,Southern Colorado Plateau Sand Shrubland
407,2,Apacherian-Chihuahuan Mesquite Upland Scrub
408,2,Mediterranean California Sparsely Vegetated Systems
409,2,Rocky Mountain Alpine/Montane Sparsely Vegetated Systems
410,2,Inter-Mountain Basins Sparsely Vegetated Systems
411,2,Rocky Mountain Alpine/Montane Sparsely Vegetated Systems
412,2,Inter-Mountain Basins Sparsely Vegetated Systems
413,2,Rocky Mountain Alpine/Montane Sparsely Vegetated Systems
414,2,Inter-Mountain Basins Sparsely Vegetated Systems
415,2,Rocky Mountain Alpine/Montane Sparsely Vegetated Systems
416,2,Rocky Mountain Aspen Forest and Woodland
417,2,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest - Ponderosa Pine-Douglas-fir
418,2,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest - Larch
419,2,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest - Grand Fir
420,2,Northern Rocky Mountain Subalpine Woodland and Parkland
421,2,Northern Rocky Mountain Mesic Montane Mixed Conifer Forest
422,2,Northern Rocky Mountain Mesic Montane Mixed Conifer Forest - Cedar Groves
423,2,Northern Rocky Mountain Ponderosa Pine Woodland and Savanna
424,2,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland
425,2,Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland
426,2,Inter-Mountain Basins Curl-leaf Mountain Mahogany Woodland and Shrubland
427,2,Columbia Plateau Scabland Shrubland
428,2,Rocky Mountain Alpine Dwarf-Shrubland
429,2,Great Basin Xeric Mixed Sagebrush Shrubland
430,2,Inter-Mountain Basins Big Sagebrush Shrubland
431,2,Northern Rocky Mountain Montane-Foothill Deciduous Shrubland
432,2,Inter-Mountain Basins Juniper Savanna
433,2,Columbia Plateau Steppe and Grassland
434,2,Columbia Plateau Low Sagebrush Steppe
435,2,Inter-Mountain Basins Big Sagebrush Steppe
436,2,Inter-Mountain Basins Montane Sagebrush Steppe
437,2,Inter-Mountain Basins Semi-Desert Shrub-Steppe
438,2,Columbia Basin Foothill and Canyon Dry Grassland
439,2,Inter-Mountain Basins Semi-Desert Grassland
440,2,Northern Rocky Mountain Lower Montane-Foothill-Valley Grassland
441,2,Northern Rocky Mountain Subalpine-Upper Montane Grassland
442,2,Columbia Basin Palouse Prairie
443,2,Rocky Mountain Subalpine-Montane Mesic Meadow
444,2,Inter-Mountain Basins Greasewood Flat
445,2,Inter-Mountain Basins Montane Riparian Systems
446,2,Rocky Mountain Montane Riparian Systems
447,2,Rocky Mountain Subalpine/Upper Montane Riparian Systems
448,2,Northern Rocky Mountain Conifer Swamp
449,2,Middle Rocky Mountain Montane Douglas-fir Forest and Woodland
450,2,Rocky Mountain Poor-Site Lodgepole Pine Forest
451,2,Inter-Mountain Basins Sparsely Vegetated Systems
452,2,Rocky Mountain Alpine/Montane Sparsely Vegetated Systems
453,2,Northwestern Great Plains Aspen Forest and Parkland
454,2,Rocky Mountain Aspen Forest and Woodland
455,2,Great Basin Pinyon-Juniper Woodland
456,2,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest - Ponderosa Pine-Douglas-fir
457,2,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest - Larch
458,2,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest - Grand Fir
459,2,Northern Rocky Mountain Subalpine Woodland and Parkland
460,2,Northern Rocky Mountain Mesic Montane Mixed Conifer Forest
461,2,Northern Rocky Mountain Mesic Montane Mixed Conifer Forest - Cedar Groves
462,2,Rocky Mountain Foothill Limber Pine-Juniper Woodland
463,2,Northern Rocky Mountain Ponderosa Pine Woodland and Savanna
464,2,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland
465,2,Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland
466,2,Inter-Mountain Basins Curl-leaf Mountain Mahogany Woodland and Shrubland
467,2,Rocky Mountain Alpine Dwarf-Shrubland
468,2,Inter-Mountain Basins Big Sagebrush Shrubland
469,2,Inter-Mountain Basins Mixed Salt Desert Scrub
470,2,Northern Rocky Mountain Montane-Foothill Deciduous Shrubland
471,2,Inter-Mountain Basins Juniper Savanna
472,2,Columbia Plateau Low Sagebrush Steppe
473,2,Inter-Mountain Basins Big Sagebrush Steppe
474,2,Inter-Mountain Basins Montane Sagebrush Steppe
475,2,Northern Rocky Mountain Lower Montane-Foothill-Valley Grassland
476,2,Northern Rocky Mountain Subalpine-Upper Montane Grassland
477,2,Rocky Mountain Alpine Fell-Field
478,2,Rocky Mountain Alpine Turf
479,2,Rocky Mountain Subalpine-Montane Mesic Meadow
480,2,Inter-Mountain Basins Greasewood Flat
481,2,Inter-Mountain Basins Montane Riparian Systems
482,2,Rocky Mountain Montane Riparian Systems
483,2,Rocky Mountain Subalpine/Upper Montane Riparian Systems
484,2,Northern Rocky Mountain Conifer Swamp
485,2,Middle Rocky Mountain Montane Douglas-fir Forest and Woodland
486,2,Middle Rocky Mountain Montane Douglas-fir Forest and Woodland - Fire-maintained Savanna
487,2,Rocky Mountain Poor-Site Lodgepole Pine Forest
488,2,Inter-Mountain Basins Sparsely Vegetated Systems
489,2,North American Warm Desert Sparsely Vegetated Systems
490,2,Rocky Mountain Alpine/Montane Sparsely Vegetated Systems
491,2,Colorado Plateau Pinyon-Juniper Woodland
492,2,Great Basin Pinyon-Juniper Woodland
493,2,Inter-Mountain Basins Subalpine Limber-Bristlecone Pine Woodland
494,2,Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland
495,2,Southern Rocky Mountain Ponderosa Pine Woodland
496,2,Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland
497,2,Inter-Mountain Basins Curl-leaf Mountain Mahogany Woodland and Shrubland
498,2,Great Basin Xeric Mixed Sagebrush Shrubland
499,2,Inter-Mountain Basins Big Sagebrush Shrubland
500,2,Inter-Mountain Basins Mixed Salt Desert Scrub
